Column1,Column2,Column3,Column4,Column5,Column6,Column7
Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
10.6574621,0.339987,7.190007,6.371165,9.612677,48.487160,87.292725
10.6594639,0.351958,7.175642,6.366377,9.599191,48.454075,87.191948
10.6614647,0.363930,7.173247,6.383137,9.608973,48.372181,87.095627
10.6634665,0.363930,7.161276,6.404685,9.614381,48.228870,87.090782
10.6654673,0.387873,7.146910,6.431022,9.622205,48.059982,86.893524
10.6674700,0.390267,7.144516,6.438205,9.625326,48.019188,86.873344
10.6694708,0.399844,7.142122,6.498062,9.664087,47.747997,86.795700
10.6714725,0.421392,7.139728,6.493273,9.660014,47.764416,86.622276
10.6734772,0.416604,7.130150,6.519610,9.670466,47.609692,86.656097
10.6754780,0.421392,7.154093,6.531582,9.696401,47.653786,86.629044
10.6774797,0.426181,7.134939,6.569890,9.708369,47.411800,86.581696
10.6794815,0.430969,7.132545,6.584256,9.716550,47.341038,86.542221
10.6814833,0.407027,7.146910,6.615381,9.747167,47.258026,86.740448
10.6834841,0.423787,7.149304,6.620170,9.752886,47.250771,86.607666
10.6854858,0.409421,7.132545,6.646507,9.757914,47.067196,86.714722
10.6874866,0.450124,7.110996,6.646507,9.743969,46.990864,86.378029
10.6894875,0.447729,7.099025,6.648901,9.736760,46.931999,86.391182
10.6914892,0.438152,7.130150,6.651295,9.760674,47.043873,86.483559
10.6934900,0.454912,7.127756,6.658478,9.764588,47.007660,86.348183
10.6954927,0.452518,7.118179,6.668056,9.764026,46.927696,86.362480
10.6974936,0.464489,7.130150,6.684815,9.784760,46.906857,86.272766
10.6994934,0.459701,7.120573,6.687210,9.779195,46.857117,86.306137
10.7014952,0.452518,7.113390,6.682421,9.770356,46.847027,86.360039
10.7034960,0.435758,7.125362,6.699181,9.789775,46.819115,86.500381
10.7054977,0.390267,7.127756,6.694392,9.786323,46.838593,86.866005
10.7074986,0.414210,7.154093,6.668056,9.788544,47.061718,86.686371
10.7095003,0.397450,7.122968,6.672844,9.768392,46.913185,86.806305
10.7115011,0.356747,7.139728,6.648901,9.762729,47.074295,87.139511
10.7135029,0.344776,7.125362,6.634535,9.742007,47.076332,87.229782
10.7155046,0.359141,7.137333,6.620170,9.741517,47.188934,87.119385
10.7175055,0.371113,7.127756,6.601016,9.721936,47.235886,87.019539
10.7195063,0.378295,7.144516,6.589044,9.726393,47.356110,86.969070
10.7215080,0.378295,7.125362,6.560313,9.692863,47.404446,86.960938
10.7235088,0.421392,7.118179,6.543553,9.678022,47.458427,86.612076
10.7255106,0.430969,7.132545,6.541159,9.687398,47.528492,86.542221
10.7275114,0.414210,7.137333,6.514822,9.672435,47.658730,86.678612
10.7295160,0.426181,7.118179,6.514822,9.658830,47.585140,86.573669
10.7315168,0.426181,7.118179,6.498062,9.647533,47.658627,86.573669
10.7335138,0.435758,7.134939,6.478908,9.647459,47.811935,86.505066
10.7355156,0.414210,7.134939,6.464542,9.636868,47.870110,86.677498
10.7375164,0.416604,7.149304,6.464542,9.647612,47.927799,86.665039
10.7395172,0.426181,7.170853,6.454965,9.657605,48.057724,86.598778
10.7415190,0.407027,7.173247,6.454965,9.658557,48.062798,86.752388
10.7435198,0.411815,7.182825,6.431022,9.649901,48.207569,86.718636
10.7455206,0.407027,7.178036,6.428628,9.644539,48.198170,86.754547
10.7475224,0.409421,7.187613,6.428628,9.651770,48.236538,86.739838
10.7495241,0.399844,7.168459,6.411868,9.625940,48.232994,86.807449
10.7515259,0.395055,7.156487,6.428628,9.628014,48.110176,86.840340
10.7535267,0.383084,7.180430,6.409474,9.632585,48.287361,86.946098
10.7555285,0.402238,7.182825,6.416656,9.639930,48.269085,86.794785
10.7575293,0.418998,7.194796,6.409474,9.644792,48.351967,86.667068
10.7595310,0.428575,7.199584,6.416656,9.653558,48.341190,86.593330
10.7615318,0.416604,7.175642,6.423839,9.639974,48.212090,86.677246
10.7635326,0.404632,7.180430,6.431022,9.647816,48.196495,86.774673
10.7655354,0.418998,7.175642,6.426234,9.641673,48.202026,86.658195
10.7675362,0.404632,7.187613,6.421445,9.646785,48.267288,86.777885
10.7695379,0.414210,7.166065,6.442994,9.645529,48.088863,86.691895
10.7715387,0.397450,7.161276,6.435811,9.636467,48.097889,86.823349
10.7735405,0.404632,7.168459,6.447782,9.650100,48.075016,86.769295
10.7755413,0.387873,7.178036,6.457359,9.662926,48.066990,86.906975
10.7775431,0.395055,7.163670,6.457359,9.652550,48.011639,86.843506
10.7795439,0.399844,7.170853,6.457359,9.658080,48.041161,86.808517
10.7815466,0.399844,7.161276,6.471725,9.660588,47.939880,86.804253
10.7835474,0.404632,7.146910,6.483696,9.658176,47.831223,86.759575
10.7855492,0.392661,7.130150,6.478908,9.642068,47.782898,86.847878
10.7875500,0.409421,7.122968,6.490879,9.645507,47.705360,86.710320
10.7895498,0.397450,7.134939,6.531582,9.681264,47.572083,86.811653
10.7915506,0.423787,7.115785,6.541159,9.674747,47.459873,86.591728
10.7935514,0.421392,7.132545,6.545948,9.690211,47.505325,86.618881
10.7955532,0.426181,7.132545,6.557919,9.698511,47.454315,86.580551
10.7975540,0.416604,7.101419,6.593833,9.699605,47.171650,86.642601
10.7995567,0.428575,7.132545,6.605804,9.731059,47.247162,86.561386
10.8015575,0.402238,7.127756,6.608199,9.728052,47.211571,86.770073
10.8035593,0.421392,7.122968,6.629747,9.740009,47.103859,86.614349
